Team,Round Elim,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG,BKPG,RPG,OPP FG%,OPP PPG,STPG,Pct,Avg,Ratio,Fouls,TO,REB MAR,Pct
North Carolina,7,18.1,46.6,70.1,15.75,84.4,7.1,35.5,11.8,3.5,27.98,41.3,70.6,7.1,34,13.6,1.53,712,473,12.3,82.5
Kentucky,4,15.4,47.3,70.3,12.37,84.9,7,35.3,11.7,5.3,27.39,42.4,71.5,6,30.6,14.32,1.32,718,443,4.7,84.2
Villanova,2,14,49.5,79,8.78,77.2,8.6,36.9,11.2,3,24.75,41.9,62.7,7.2,31.1,13.19,1.26,516,402,3.7,88.9
Kansas,4,16.2,48.8,67.8,11.89,83.2,8.8,40.4,12.7,4.5,26.78,42,71.9,6.9,35.6,13.42,1.28,641,456,4.4,86.1
Arizona,3,13.5,47.7,76.5,10.27,76.6,6.6,39,11.2,3.2,26.41,42.1,65.9,5.4,31,11.68,1.21,625,413,6.8,86.5
Gonzaga,6,15.3,50.4,71.7,9.69,82.6,7.3,38.2,11.5,4.7,31,36.5,61.5,6.8,29,12.1,1.33,662,448,7.1,94.9
Oregon,5,15.7,48.1,71.2,10.56,78.9,8.6,38,11.6,6.4,26.05,40.3,65.8,6.5,31.3,13.21,1.35,615,454,4.2,84.6
Florida,4,12.5,45,72.9,11.56,77.9,7.7,35.8,12,4.8,25.5,41,66.5,7.5,30.5,14.86,1.05,662,431,1.9,75
Baylor,3,15.5,47.1,72.3,12.89,72.9,6.6,35.9,13.4,4.8,25.03,40.5,63.7,5.1,32.3,11.34,1.16,617,469,8.7,77.1
Duke,2,13.1,47.5,76.2,10.54,80.8,8.4,37.9,11.4,4.6,25.7,43.2,70.2,6.1,29.3,12.08,1.15,675,421,2.6,75.7
Louisville,2,13.6,45.6,68.6,13.44,77.3,7,35.5,11,5.4,26.06,40.1,66,6.7,31.6,13.5,1.23,653,374,6,73.5
Cincinnati,2,15.5,45.8,68.6,12.14,74.3,7.3,34.5,10,4.9,24.72,38.8,61.3,7.2,34.4,13.22,1.55,568,361,4.5,83.3
Butler,3,13.3,47.7,74.1,8.44,76.3,7.7,36.6,10.2,2.8,23.59,44.5,68.9,6.1,33.3,13.26,1.31,641,346,0.6,73.5
UCLA,3,21.4,52.2,73.8,9.53,89.8,9.8,40.6,11.2,5.3,28.94,42.2,75.5,5.9,36.5,11.75,1.91,584,404,3.7,86.1
Florida St.,2,14.6,48.3,68.9,11.69,82.1,6.7,34.7,11.9,5.1,26.14,41.6,72.1,7.4,34.9,14.11,1.23,684,415,3.8,74.3
SMU,1,16.2,47.2,69.6,11.89,74.3,8.2,40.6,10.8,3.3,26.23,38.6,60,5.7,32.1,11.66,1.5,505,377,8.7,85.7
Saint Mary's (CA),2,16.6,49.6,74.5,9.53,72,8.6,39.4,10.7,3.2,25.97,41.2,57.5,4.2,30,9.35,1.54,512,365,9,85.3
Purdue,3,18.3,47.9,75.7,9.83,79.7,9,40.3,13,2.5,27.86,42.1,68.4,5.2,33.2,11.74,1.41,552,455,6.6,77.1
Virginia,2,13.9,46,70.9,8.74,66.1,6.8,38.5,9.5,4.1,24.18,39.8,56.4,5.6,31.7,12.65,1.46,556,324,2.9,67.6
West Virginia,3,16.4,45.4,68.5,14.43,81.5,7.4,36.2,12.3,4.8,23,42.4,66.7,10,35.3,20,1.33,761,455,3,75.7
Iowa St.,2,15.8,47.2,70,9.09,80.8,9.8,40,10.1,3.5,25.74,42.8,72.3,7.8,34.6,14.03,1.56,558,355,-3.4,68.6
Notre Dame,2,15.7,45.8,80,9.28,77.3,9.3,38.4,9.5,3.7,24.39,43.2,69.3,7.1,33.8,12.67,1.66,535,341,-1.8,72.2
Michigan,3,13.9,48.3,77.9,7.37,75,9.5,38.5,9.2,2.9,21.87,46.5,66.4,5.8,37.8,12.61,1.52,574,348,-2.6,68.4
South Carolina,5,12.6,42,69.8,12.54,73.1,6.7,33.7,13,3.8,23.78,40.1,65.2,7.8,30.3,17.08,0.97,751,480,1.1,70.3
Minnesota,1,14.9,43.5,71.1,11.12,75.2,6.1,34.2,11.6,6.7,28.32,40,69.4,5.7,30.9,12.62,1.29,579,393,0.9,70.6
VCU,1,15,46.1,70.5,11.03,74.7,5.7,33.1,12.4,3.9,25.4,42.2,66.9,7.5,33.8,14.69,1.21,730,435,2.6,74.3
Xavier,4,14.7,45.7,68.8,11.87,74.6,7,34.5,12.6,2.6,25.39,45,71.3,6,33.4,11.95,1.17,711,478,6.1,63.2
Arkansas,2,13.9,46,76.1,11.14,79.3,6.5,36.5,11.9,4.8,24.89,41.8,73.9,7.7,33.2,13.25,1.17,740,428,-0.6,72.2
Wichita St.,2,16.3,46.9,73.3,12.06,81,8.6,40.3,11.3,3.9,28.92,37.7,62.4,6.5,31.1,13.56,1.44,676,406,9,86.1
Wisconsin,3,13.6,45.5,64.4,12.43,72.4,7.6,35.9,11.1,3.5,24.76,41.2,62.4,6.8,37.6,12.76,1.22,602,411,6.3,73
Rhode Island,2,13.3,45.4,66.8,11.69,73.6,6.2,33.3,11.1,5.9,25.49,40.6,65.4,6.5,29.5,13.11,1.2,726,389,2.5,71.4
Creighton,1,17.1,50.5,68.2,8.26,81.8,8.7,39.6,12.4,2.9,26.69,43.7,72.8,6.1,33,13.97,1.37,583,435,-1,71.4
UNCW,1,16.1,48,69.1,12.06,84.8,9.6,36.6,10.4,3.4,23.97,47.8,75,6.7,33.8,14.46,1.56,699,363,2.2,82.9
Middle Tenn.,2,15.4,48.8,69.9,9.86,74.9,6.3,36.7,10.4,2.8,25.5,42.1,63.9,6.7,32.3,13.22,1.48,657,374,5.2,86.1
Nevada,1,16,44.8,70.5,11.03,79.8,9.1,38.2,11,4.3,27.57,42.8,71.3,5.4,31,11.34,1.45,581,386,3.5,80
Dayton,1,15.6,46.5,69,8.66,75.9,8.1,38.5,11.8,4,25.63,41.3,66.4,7.8,32.5,14.97,1.33,601,376,-0.4,75
Southern California,2,15.3,45.6,74.1,10.75,78.2,7.9,36.2,11.1,5.3,24.92,43.4,73.1,7,36.8,12.56,1.38,572,398,0.4,72.2
Maryland,1,14.3,44.9,69.9,10.64,73.9,8.2,35.9,12.9,4.7,24.88,41.6,68.1,5.5,33.8,12.64,1.11,614,426,0.4,72.7
Illinois St.,0,13.8,43.9,66.4,10.54,69.1,8.4,36.9,12.2,4.9,26.4,37.9,61.3,7.1,32.8,12.77,1.13,620,427,2.5,80
UT Arlington,0,15.8,46.1,68.1,11.94,78.3,8.6,33.7,13.1,2.3,26.72,41.2,69.9,7.4,31.8,14.56,1.21,691,471,3.4,75
Oklahoma St.,1,14.7,46.7,78.9,13.76,85.7,8.9,40.2,13.1,3,23.06,47.1,78.5,7.6,36.7,14.94,1.13,731,432,4,60.6
Vanderbilt,1,12.9,43,77.7,8.17,71.1,9.9,37.6,12.3,3.8,26.34,42.5,68.1,4.2,33.7,10.83,1.05,581,430,0,54.3
Wake Forest,0,15.5,47.2,77.8,10.58,82.8,8.1,38.5,11.8,3.7,25.7,45.7,78.4,5.5,35.8,11.64,1.32,668,389,2.6,57.6
Miami (FL),1,11.8,45.2,71.8,11,69,6.3,35.6,12.6,3.8,24.64,41.9,64.1,6.5,33,11.88,0.93,515,417,4,63.6
Vermont,1,13.6,49.4,70,9.31,73.5,6.5,36.9,11.2,4.3,24.74,42.3,62.1,5.7,33.4,12.94,1.21,556,392,3.6,82.9
Seton Hall,1,12.2,44.8,64.3,13.3,73.2,6.1,33.8,13.6,2.5,26.45,43.3,70.4,6.9,34.1,12.18,0.9,613,449,6.9,63.6
Michigan St.,2,16.9,47,67,9.37,71.9,7.8,37.3,14,4.6,27.06,41,68.7,4.3,34.6,10.86,1.21,702,490,3.5,57.1
Northwestern,2,15,43.6,74.8,10.72,71.1,7.1,34.2,10.6,4.9,25.5,40.3,65.5,5.3,33.3,11.92,1.41,691,383,0.8,66.7
Princeton,1,14.3,45,73.8,8.23,71.6,9.9,37.8,9.9,3.1,25.17,41.6,61.4,6.7,33.2,13.13,1.44,482,298,-0.1,76.7
Virginia Tech,1,15.1,48.9,73.7,7.27,79.1,8.8,40.3,12.1,2.8,25.03,44.5,74.7,4,36.3,11.61,1.25,543,398,-2.4,66.7
