Team,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG
North Carolina,18.1,46.6,70.1,15.75,84.4,7.1,35.5,11.8
Kentucky,15.4,47.3,70.3,12.37,84.9,7.0,35.3,11.7
Villanova,14.0,49.5,79.0,8.78,77.2,8.6,36.9,11.2
Kansas,16.2,48.8,67.8,11.89,83.2,8.8,40.4,12.7
Arizona,13.5,47.7,76.5,10.27,76.6,6.6,39.0,11.2
Gonzaga,15.3,50.4,71.7,9.69,82.6,7.3,38.2,11.5
Oregon,15.7,48.1,71.2,10.56,78.9,8.6,38.0,11.6
Florida,12.5,45.0,72.9,11.56,77.9,7.7,35.8,12.0
Baylor,15.5,47.1,72.3,12.89,72.9,6.6,35.9,13.4
Duke,13.1,47.5,76.2,10.54,80.8,8.4,37.9,11.4
Louisville,13.6,45.6,68.6,13.44,77.3,7.0,35.5,11.0
Cincinnati,15.5,45.8,68.6,12.14,74.3,7.3,34.5,10.0
Butler,13.3,47.7,74.1,8.44,76.3,7.7,36.6,10.2
UCLA,21.4,52.2,73.8,9.53,89.8,9.8,40.6,11.2
Florida St.,14.6,48.3,68.9,11.69,82.1,6.7,34.7,11.9
SMU,16.2,47.2,69.6,11.89,74.3,8.2,40.6,10.8
Saint Mary's (CA),16.6,49.6,74.5,9.53,72.0,8.6,39.4,10.7
Purdue,18.3,47.9,75.7,9.83,79.7,9.0,40.3,13.0
Virginia,13.9,46.0,70.9,8.74,66.1,6.8,38.5,9.5
West Virginia,16.4,45.4,68.5,14.43,81.5,7.4,36.2,12.3
Iowa St.,15.8,47.2,70.0,9.09,80.8,9.8,40.0,10.1
Notre Dame,15.7,45.8,80.0,9.28,77.3,9.3,38.4,9.5
Michigan,13.9,48.3,77.9,7.37,75.0,9.5,38.5,9.2
South Carolina,12.6,42.0,69.8,12.54,73.1,6.7,33.7,13.0
Minnesota,14.9,43.5,71.1,11.12,75.2,6.1,34.2,11.6
VCU,15.0,46.1,70.5,11.03,74.7,5.7,33.1,12.4
